Processes: 469 total, 2 running, 467 sleeping, 1679 threads 
2021/10/11 12:20:06
Load Avg: 1.52, 1.87, 1.97 
CPU usage: 3.94% user, 11.18% sys, 84.86% idle 
SharedLibs: 283M resident, 38M data, 31M linkedit.
MemRegions: 84148 total, 2856M resident, 77M private, 764M shared.
PhysMem: 7890M used (2002M wired), 300M unused.
VM: 4266G vsize, 2321M framework vsize, 7413740(0) swapins, 8051695(0) swapouts.
Networks: packets: 2615023/4025M in, 3296906/1981M out.
Disks: 1429398/56G read, 633499/63G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS  COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
5860  com.apple.WebKit 0.0  00:15.24 4     1   112    115M  14M   23M   5860 1    sleeping  0[8071]   0.00000 0.00000    501 153695  476    83939    37554    158480   215396   92280     301     892     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5858  com.apple.WebKit 0.0  00:01.29 4     1   92     94M   0B    93M   5858 1    sleeping  0[60]     0.00000 0.00000    501 42943   380    4876     2161     13934    14838    5205      7       59      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5856  com.apple.WebKit 0.0  00:03.09 4     1   100    118M  0B    116M  5856 1    sleeping  0[86]     0.00000 0.00000    501 83509   407    6938     3168     31829    24150    12497     932     44      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5794  clangd           0.0  00:08.49 4     0   17     30M   0B    9832K 5614 5614 sleeping *0[1]      0.00000 0.00000    501 59075   973    306      151      104472   706      11156     0       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5675  MTLCompilerServi 0.0  00:00.12 2     1   21     8100K 0B    8084K 5675 1    sleeping *0[2]      0.00000 0.00000    501 5227    558    130      43       559      298      381       72      0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5674  MTLCompilerServi 0.0  00:00.06 2     1   32     5080K 0B    5040K 5674 1    sleeping *0[3]      0.00000 0.00000    501 3013    158    145      42       803      294      149       49      0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5667  jcef Helper      0.0  00:00.10 7     1   72     12M   0B    11M   5614 5614 sleeping *0[1]      0.00000 0.00000    501 7172    2069   657      474      1536     1492     1691      0       55      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5666  jcef Helper (Ren 0.0  00:44.62 14    1   168    74M   0B    68M   5614 5614 sleeping *0[1]      0.00000 0.00000    501 66455   2113   239384   53700    151294   804361   321941    82      23122   0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5665  VTEncoderXPCServ 0.0  00:00.14 2     1   62     7784K 0B    7280K 5665 1    sleeping *0[4]      0.00000 0.00000    501 11405   168    5129     2084     3564     3632     491       15      2       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5661  jcef Helper      0.0  00:00.28 7     1   86     18M   0B    17M   5614 5614 sleeping *0[1]      0.00000 0.00000    501 10645   2074   2662     2001     8104     4563     2248      0       60      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5659  VTDecoderXPCServ 0.0  00:00.14 2     1   66     9904K 0B    9380K 5659 1    sleeping *0[16]     0.00000 0.00000    501 4368    177    1597     640      4039     1515     565       11      2       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5658  jcef Helper (GPU 0.0  00:12.24 8     1   183    158M  0B    110M  5614 5614 sleeping *0[8]      0.00000 0.00000    501 47531   2148   93722    46657    95848    229929   156535    167     19781   0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5645  fsnotifier       0.0  00:00.24 3     1   28     844K  0B    424K  5614 5614 sleeping *0[1]      0.00000 0.00000    501 6869    97     3805     38       11271    10773    2698      0       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5614  clion            0.0  08:48.87 98    1   728    1975M 1648K 441M  5614 1    sleeping *0[403]    0.00000 0.00000    501 3120359 6232   684209   181660   2455203  10747117 1955340   60120   45415   0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5584  mdworker         0.0  00:01.37 2     1   48     1308K 0B    952K  5584 1    sleeping *0[1]      0.00000 0.00000    501 4598    166    211      58       66251    455      3369      0       6       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5555  LocalAuthenticat 0.0  00:00.42 3     1   188    7748K 0B    5912K 5555 1    sleeping  0[276]    0.00000 0.00000    501 8855    277    4440     1139     6626     10161    4729      23      70      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5544  QuickLookUIServi 0.0  00:00.17 3     1   138    2848K 0B    1484K 5544 1    sleeping  0[261]    0.00000 0.00000    501 5305    248    2265     525      3121     6422     3143      0       63      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5543  com.apple.appkit 0.0  00:00.77 3     1   199    13M   0B    11M   5543 1    sleeping  0[270]    0.00000 0.00000    501 14998   403    5848     1859     18330    10248    5639      22      70      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
